Id|639-1|639-2/T|639-2/B|Name|Native
0|aa|aar|aar|Afar|Afaraf
1|ab|abk|abk|Abkhaz|аҧсуа бызшәа аҧсшәа
2|ae|ave|ave|Avestan|avesta
3|af|afr|afr|Afrikaans|Afrikaans
4|ak|aka|aka|Akan|Akan
5|am|amh|amh|Amharic|አማርኛ
6|an|arg|arg|Aragonese|aragonés
7|ar|ara|ara|Arabic|العربية
8|as|asm|asm|Assamese|অসমীয়া
9|av|ava|ava|Avaric|авар мацӀ магӀарул мацӀ
10|ay|aym|aym|Aymara|aymar aru
11|az|aze|aze|Azerbaijani|azərbaycan dili
12|az|azb|azb|South Azerbaijani|تورکجه‎
13|ba|bak|bak|Bashkir|башҡорт теле
14|be|bel|bel|Belarusian|беларуская мова
15|bg|bul|bul|Bulgarian|български език
16|bh|bih|bih|Bihari|भोजपुरी
17|bi|bis|bis|Bislama|Bislama
18|bm|bam|bam|Bambara|bamanankan
19|bn|ben|ben|Bengali Bangla|বাংলা
20|bo|bod|tib|Tibetan Standard Tibetan Centralབོད་ཡིག|
21|br|bre|bre|Breton|brezhoneg
22|bs|bos|bos|Bosnian|bosanski jezik
23|ca|cat|cat|Catalan Valencian|català valencià
24|ce|che|che|Chechen|нохчийн мотт
25|ch|cha|cha|Chamorro|Chamoru
26|co|cos|cos|Corsican|corsu lingua corsa
27|cr|cre|cre|Cree|ᓀᐦᐃᔭᐍᐏᐣ
28|cs|ces|cze|Czech|čeština český jazyk
29|cu|chu|chu|Old Church Slavonic Church Slavonic Old Bulgarianѩзыкъ словѣньскъ|
30|cv|chv|chv|Chuvash|чӑваш чӗлхи
31|cy|cym|wel|Welsh|Cymraeg
32|da|dan|dan|Danish|dansk
33|de|deu|ger|German|Deutsch
34|dv|div|div|Divehi Dhivehi Maldivian|ދިވެހި
35|dz|dzo|dzo|Dzongkha|རྫོང་ཁ
36|ee|ewe|ewe|Ewe|Eʋegbe
37|el|ell|gre|Greek Modernελληνικά|
38|en|eng|eng|English|English
39|eo|epo|epo|Esperanto|Esperanto
40|es|spa|spa|Spanish Castilian|español castellano
41|et|est|est|Estonian|eesti eesti keel
42|eu|eus|baq|Basque|euskara euskera
43|fa|fas|per|Persian (Farsi)|فارسی
44|ff|ful|ful|Fula Fulah Pulaar Pular|Fulfulde Pulaar Pular
45|fi|fin|fin|Finnish|suomi suomen kieli
46|fj|fij|fij|Fijian|vosa Vakaviti
47|fo|fao|fao|Faroese|føroyskt
48|fr|fra|fre|French|français langue française
49|fy|fry|fry|Western Frisian|Frysk
50|ga|gle|gle|Irish|Gaeilge
51|gd|gla|gla|Scottish Gaelic Gaelic|Gàidhlig
52|gl|glg|glg|Galician|galego
53|gn|grn|grn|Guaraní|Avañeẽ
54|gu|guj|guj|Gujarati|ગુજરાતી
55|gv|glv|glv|Manx|Gaelg Gailck
56|ha|hau|hau|Hausa|Hausa هَوُسَ
57|he|heb|heb|Hebrew (modern)|עברית
58|hi|hin|hin|Hindi|हिन्दी हिंदी
59|ho|hmo|hmo|Hiri Motu|Hiri Motu
60|hr|hrv|hrv|Croatian|hrvatski jezik
61|ht|hat|hat|Haitian Haitian Creole|Kreyòl ayisyen
62|hu|hun|hun|Hungarian|magyar
63|hy|hye|arm|Armenian|Հայերեն
64|hz|her|her|Herero|Otjiherero
65|ia|ina|ina|Interlingua|Interlingua
66|id|ind|ind|Indonesian|Bahasa Indonesia
67|ie|ile|ile|Interlingue|Originally called Occidental then Interlingue after WWII
68|ig|ibo|ibo|Igbo|Asụsụ Igbo
69|ii|iii|iii|Nuosu|ꆈꌠ꒿ Nuosuhxop
70|ik|ipk|ipk|Inupiaq|Iñupiaq Iñupiatun
71|io|ido|ido|Ido|Ido
72|is|isl|ice|Icelandic|Íslenska
73|it|ita|ita|Italian|italiano
74|iu|iku|iku|Inuktitut|ᐃᓄᒃᑎᑐᑦ
75|ja|jpn|jpn|Japanese|日本語 (にほんご)
76|jv|jav|jav|Javanese|basa Jawa
77|ka|kat|geo|Georgian|ქართული
78|kg|kon|kon|Kongo|KiKongo
79|ki|kik|kik|Kikuyu GikuyuGĩkũyũ|
80|kj|kua|kua|Kwanyama KuanyamaKuanyama|
81|kk|kaz|kaz|Kazakh|қазақ тілі
82|kl|kal|kal|Kalaallisut Greenlandickalaallisut kalaallit oqaasii|
83|km|khm|khm|Khmer|ខ្មែរ ខេមរភាសា ភាសាខ្មែរ
84|kn|kan|kan|Kannada|ಕನ್ನಡ
85|ko|kor|kor|Korean|한국어 (韓國語) 조선어 (朝鮮語)
86|kr|kau|kau|Kanuri|Kanuri
87|ks|kas|kas|Kashmiri|कश्मीरी كشميري‎
88|ku|kur|kur|Kurdish|Kurdî كوردی‎
89|kv|kom|kom|Komi|коми кыв
90|kw|cor|cor|Cornish|Kernewek
91|ky|kir|kir|Kyrgyz|Кыргызча Кыргыз тили
92|la|lat|lat|Latin|latine lingua latina
93|lb|ltz|ltz|Luxembourgish LetzeburgeschLëtzebuergesch|
94|lg|lug|lug|Ganda|Luganda
95|li|lim|lim|Limburgish Limburgan LimburgerLimburgs|
96|ln|lin|lin|Lingala|Lingála
97|lo|lao|lao|Lao|ພາສາລາວ
98|lt|lit|lit|Lithuanian|lietuvių kalba
99|lu|lub|lub|Luba-Katanga|Tshiluba
100|lv|lav|lav|Latvian|latviešu valoda
101|mg|mlg|mlg|Malagasy|fiteny malagasy
102|mh|mah|mah|Marshallese|Kajin M̧ajeļ
103|mi|mri|mao|Māori|te reo Māori
104|mk|mkd|mac|Macedonian|македонски јазик
105|ml|mal|mal|Malayalam|മലയാളം
106|mn|mon|mon|Mongolian|монгол
107|mr|mar|mar|Marathi (Marāṭhī)|मराठी
108|ms|msa|may|Malay|bahasa Melayu بهاس ملايو‎
109|mt|mlt|mlt|Maltese|Malti
110|my|mya|bur|Burmese|ဗမာစာ
111|na|nau|nau|Nauru|Ekakairũ Naoero
112|nb|nob|nob|Norwegian Bokmål|Norsk bokmål
113|nd|nde|nde|North Ndebele|isiNdebele
114|ne|nep|nep|Nepali|नेपाली
115|ng|ndo|ndo|Ndonga|Owambo
116|nl|nld|dut|Dutch|Nederlands Vlaams
117|nn|nno|nno|Norwegian Nynorsk|Norsk nynorsk
118|no|nor|nor|Norwegian|Norsk
119|nr|nbl|nbl|South Ndebele|isiNdebele
120|nv|nav|nav|Navajo NavahoDiné bizaad Dinékʼehǰí|
121|ny|nya|nya|Chichewa Chewa Nyanja|chiCheŵa chinyanja
122|oc|oci|oci|Occitan|occitan lenga dòc
123|oj|oji|oji|Ojibwe Ojibwaᐊᓂᔑᓈᐯᒧᐎᓐ|
124|om|orm|orm|Oromo|Afaan Oromoo
125|or|ori|ori|Oriya|ଓଡ଼ିଆ
126|os|oss|oss|Ossetian Osseticирон æвзаг|
127|pa|pan|pan|Panjabi Punjabiਪੰਜਾਬੀ پنجابی‎|
128|pi|pli|pli|Pāli|पाऴि
129|pl|pol|pol|Polish|język polski polszczyzna
130|ps|pus|pus|Pashto Pushtoپښتو|
131|pt|por|por|Portuguese|português
132|qu|que|que|Quechua|Runa Simi Kichwa
133|rm|roh|roh|Romansh|rumantsch grischun
134|rn|run|run|Kirundi|Ikirundi
135|ro|ron|rum|Romanian|limba română
136|ru|rus|rus|Russian|русский язык
137|rw|kin|kin|Kinyarwanda|Ikinyarwanda
138|sa|san|san|Sanskrit (Saṁskṛta)|संस्कृतम्
139|sc|srd|srd|Sardinian|sardu
