Id|GeoId|Country|SubCountry|City
0|3040051|Andorra|Escaldes-Engordany|les Escaldes
1|3041563|Andorra|Andorra la Vella|Andorra la Vella
2|290594|United Arab Emirates|Imārat Umm al Qaywayn|Umm Al Quwain City
3|291074|United Arab Emirates|Raʼs al Khaymah|Ras Al Khaimah City
4|291580|United Arab Emirates|Abu Dhabi|Zayed City
5|291696|United Arab Emirates|Sharjah|Khawr Fakkān
6|292223|United Arab Emirates|Dubai|Dubai
7|292231|United Arab Emirates|Fujairah|Dibba Al-Fujairah
8|292239|United Arab Emirates|Fujairah|Dibba Al-Hisn
9|292672|United Arab Emirates|Sharjah|Sharjah
10|292688|United Arab Emirates|Abu Dhabi|Ar Ruways
11|292878|United Arab Emirates|Fujairah|Al Fujairah City
12|292913|United Arab Emirates|Abu Dhabi|Al Ain City
13|292932|United Arab Emirates|Ajman|Ajman City
14|292953|United Arab Emirates|Sharjah|Adh Dhayd
15|292968|United Arab Emirates|Abu Dhabi|Abu Dhabi
16|8057551|United Arab Emirates|Abu Dhabi|Khalifah A City
17|12042052|United Arab Emirates|Abu Dhabi|Bani Yas City
18|12042053|United Arab Emirates|Abu Dhabi|Musaffah
19|12047416|United Arab Emirates|Abu Dhabi|Al Shamkhah City
20|12047417|United Arab Emirates|Fujairah|Reef Al Fujairah City
21|1120985|Afghanistan|Nimroz|Zaranj
22|1121381|Afghanistan|Bamyan|Bāzār-e Yakāwlang
23|1123004|Afghanistan|Takhar|Taloqan
24|1125155|Afghanistan|Herat|Shīnḏanḏ
25|1125444|Afghanistan|Jowzjan|Shibirghān
26|1125896|Afghanistan|Ghowr|Shahrak
27|1127110|Afghanistan|Sar-e Pol Province|Sar-e Pul
28|1127628|Afghanistan|Sar-e Pol Province|Sang-e Chārak
29|1127768|Afghanistan|Samangan|Aībak
30|1128265|Afghanistan|Takhar|Rustāq
31|1129516|Afghanistan|Jowzjan|Qarqīn
32|1129648|Afghanistan|Kunduz|Qarāwul
33|1130490|Afghanistan|Baghlan|Pul-e Khumrī
34|1131316|Afghanistan|Kabul|Paghmān
35|1132495|Afghanistan|Baghlan|Nahrīn
36|1133453|Afghanistan|Faryab|Maymana
37|1133574|Afghanistan|Laghman|Mehtar Lām
38|1133616|Afghanistan|Balkh|Mazār-e Sharīf
39|1134720|Afghanistan|Helmand|Lashkar Gāh
40|1135158|Afghanistan|Herat|Kushk
41|1135689|Afghanistan|Kunduz|Kunduz
42|1136469|Afghanistan|Khowst|Khōst
43|1136575|Afghanistan|Balkh|Khulm
44|1136863|Afghanistan|Nimroz|Khāsh
45|1137168|Afghanistan|Kunduz|Khanabad
46|1137807|Afghanistan|Herat|Karukh
47|1138336|Afghanistan|Kandahar|Kandahār
48|1138958|Afghanistan|Kabul|Kabul
49|1139715|Afghanistan|Nangarhar|Jalālābād
50|1139807|Afghanistan|Parwan|Jabal os Saraj
51|1140026|Afghanistan|Herat|Herāt
52|1141089|Afghanistan|Badghis|Ghormach
53|1141269|Afghanistan|Ghazni|Ghazni
54|1141540|Afghanistan|Helmand|Gereshk
55|1141857|Afghanistan|Paktia|Gardez
56|1142170|Afghanistan|Badakhshan|Fayzabad
57|1142264|Afghanistan|Farah|Farah
58|1142404|Afghanistan|Herat|Eslam Qaleh
59|1145352|Afghanistan|Parwan|Charikar
60|1147066|Afghanistan|Logar|Baraki Barak
61|1147242|Afghanistan|Bamyan|Bāmyān
62|1147290|Afghanistan|Balkh|Balkh
63|1147540|Afghanistan|Baghlan|Baghlān
64|1148106|Afghanistan|Takhar|Ārt Khwājah
65|1148205|Afghanistan|Kunar|Āsmār
66|1148311|Afghanistan|Kunar|Asadābād
67|1148658|Afghanistan|Faryab|Andkhōy
68|1429434|Afghanistan|Panjshir|Bāzārak
69|1469706|Afghanistan|Nangarhar|Markaz-e Woluswalī-ye Āchīn
70|3576022|Antigua and Barbuda|Saint John|Saint John’s
71|3573374|Anguilla|The Valley|The Valley
72|363243|Albania|Vlorë County|Sarandë
73|781988|Albania|Korçë County|Pogradec
74|782661|Albania|Kukës County|Kukës
75|782756|Albania|Korçë County|Korçë
76|783148|Albania|Gjirokastër County|Gjirokastër
77|783263|Albania|Elbasan County|Elbasan
78|783493|Albania|Dibër County|Burrel
79|3183719|Albania|Vlorë County|Vlorë
80|3183875|Albania|Tirana|Tirana
81|3184081|Albania|Shkodër County|Shkodër
82|3184517|Albania|Fier County|Patos Fshat
83|3184518|Albania|Fier County|Patos
84|3184862|Albania|Fier County|Lushnjë
85|3184935|Albania|Lezhë County|Lezhë
86|3185012|Albania|Lezhë County|Laç
87|3185082|Albania|Durrës County|Krujë
88|3185211|Albania|Tirana|Kavajë
89|3185670|Albania|Fier County|Fier-Çifçi
90|3185672|Albania|Fier County|Fier
91|3185728|Albania|Durrës County|Durrës
92|3186084|Albania|Berat County|Berat
93|174875|Armenia|Syunik|Kapan
94|174895|Armenia|Syunik|Goris
95|174972|Armenia|Syunik|Hats’avan
96|174979|Armenia|Ararat|Artashat
97|174991|Armenia|Ararat|Ararat
98|616052|Armenia|Yerevan|Yerevan
99|616062|Armenia|Armavir|Vagharshapat
100|616194|Armenia|Lori|Stepanavan
101|616199|Armenia|Lori|Spitak
102|616250|Armenia|Gegharkunik|Sevan
103|616435|Armenia|Ararat|Masis
104|616530|Armenia|Lori|Vanadzor
105|616599|Armenia|Gegharkunik|Gavar
106|616629|Armenia|Kotayk|Hrazdan
107|616631|Armenia|Armavir|Armavir
108|616635|Armenia|Shirak|Gyumri
109|616785|Armenia|Kotayk|Ch’arents’avan
110|616877|Armenia|Aragatsotn|Ashtarak
111|617026|Armenia|Kotayk|Abovyan
112|145531|Angola|Lunda Sul|Saurimo
113|145724|Angola|Luanda Norte|Lucapa
114|876177|Angola|Moxico|Luau
115|2236568|Angola|Uíge|Uíge
116|2236967|Angola|Zaire|Soio
117|2239001|Angola|Zaire|N'zeto
118|2239076|Angola|Cuanza Norte|N’dalatando
119|2239520|Angola|Zaire|Mbanza Kongo
120|2239862|Angola|Malanje|Malanje
121|2240449|Angola|Luanda|Luanda
122|2242001|Angola|Bengo|Caxito
123|2243271|Angola|Cabinda|Cabinda
124|3346015|Angola|Kwanza Sul|Sumbe
125|3347019|Angola|Namibe|Moçâmedes
126|3347353|Angola|Cuando Cobango|Menongue
127|3347719|Angola|Moxico|Luena
128|3347762|Angola|Huíla|Lubango
129|3347853|Angola|Huambo|Longonjo
130|3347939|Angola|Benguela|Lobito
131|3348078|Angola|Bíe|Cuito
132|3348313|Angola|Huambo|Huambo
133|3350246|Angola|Benguela|Catumbela
134|3350372|Angola|Bíe|Catabola
135|3351014|Angola|Bíe|Camacupa
136|3351500|Angola|Huambo|Caála
137|3351663|Angola|Benguela|Benguela
138|3427213|Argentina|Buenos Aires|Zárate
139|3427327|Argentina|Misiones|Wanda
140|3427387|Argentina|Buenos Aires F.D.|Villa Ortúzar
141|3427388|Argentina|Santa Fe|Villa Ocampo
142|3427408|Argentina|Buenos Aires F.D.|Villa Lugano
143|3427428|Argentina|Entre Rios|Villaguay
144|3427431|Argentina|Buenos Aires|Villa Gesell
145|3427453|Argentina|Buenos Aires|Villa de Mayo
146|3427687|Argentina|Buenos Aires|Tortuguitas
147|3427761|Argentina|Buenos Aires|Tigre
148|3427833|Argentina|Buenos Aires|Tandil
149|3428068|Argentina|Misiones|San Vicente
150|3428071|Argentina|Corrientes|Santo Tomé
151|3428075|Argentina|Buenos Aires|Santos Lugares
152|3428359|Argentina|Entre Rios|Santa Elena
153|3428576|Argentina|Buenos Aires|San Pedro
154|3428577|Argentina|Misiones|San Pedro
155|3428708|Argentina|Corrientes|San Luis del Palmar
156|3428759|Argentina|Corrientes|San Lorenzo
157|3428975|Argentina|Santa Fe|San Javier
158|3428992|Argentina|Buenos Aires|San Isidro
159|3429403|Argentina|Corrientes|Saladas
